Player,Season,Team,Type,Minutes,POS,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,BOX-LEBRON,BOX-O-LEBRON,BOX-D-LEBRON
Domantas Sabonis,2022-23,SAC,Roll + Cut Big,"2,736",C,26,3.14,2.34,0.8,9.6,3.5,2.7,0.8
Darius Garland,2022-23,CLE,Primary Ball Handler,"2,447",PG,23,3.12,2.91,0.21,8.6,2.16,2.2,-0.05
Walker Kessler,2022-23,UTA,Roll + Cut Big,"1,703",C,21,3.1,0.03,3.07,6,1.93,-0.28,2.21
Devin Booker,2022-23,PHO,Shot Creator,"1,835",SG,26,3.1,3.7,-0.6,6.4,2,2.69,-0.69
Kristaps Porzingis,2022-23,WAS,Versatile Big,"2,120",C,27,3.05,1.85,1.2,7.4,3.05,2.17,0.88
Clint Capela,2022-23,ATL,Roll + Cut Big,"1,730",C,28,3,1.27,1.73,5.9,1.59,0.32,1.27
Brook Lopez,2022-23,MIL,Stretch Big,"2,373",C,35,2.81,-0.46,3.26,7.9,2.39,0.11,2.27
Chris Paul,2022-23,PHO,Primary Ball Handler,"1,889",PG,37,2.61,1.49,1.12,6,2.82,1.7,1.12
Kyrie Irving,2022-23,BRK/DAL,Shot Creator,"2,240",PG,31,2.52,3.17,-0.65,7,2.26,3.05,-0.79
Lauri Markkanen,2022-23,UTA,Stretch Big,"2,273",SF,25,2.51,2.7,-0.19,7.1,2.14,2.93,-0.78
Evan Mobley,2022-23,CLE,Roll + Cut Big,"2,715",PF,21,2.51,-0.58,3.08,8.5,2.21,0.03,2.19
Aaron Gordon,2022-23,DEN,Shot Creator,"2,055",PF,27,2.47,1.76,0.71,6.4,1.42,1.33,0.08
Pascal Siakam,2022-23,TOR,Shot Creator,"2,652",C,29,2.43,2.08,0.35,8.2,1.52,1.69,-0.17
Zion Williamson,2022-23,NOP,Shot Creator,956,PF,22,2.42,2.13,0.29,2.9,1.73,1.93,-0.2
Derrick White,2022-23,BOS,Stationary Shooter,"2,319",SG,28,2.41,0.82,1.58,7.1,1.99,0.9,1.09
DeMar DeRozan,2022-23,CHI,Shot Creator,"2,682",SF,33,2.4,1.81,0.59,8.2,1.81,1.39,0.42
Julius Randle,2022-23,NYK,Shot Creator,"2,737",PF,28,2.33,3.21,-0.89,8.3,2.82,2.9,-0.08
Jarrett Allen,2022-23,CLE,Roll + Cut Big,"2,220",C,24,2.2,0.04,2.17,6.5,2,0.12,1.87
Draymond Green,2022-23,GSW,Roll + Cut Big,"2,297",PF,33,2.17,-0.89,3.07,6.7,0.87,-1.14,2
Immanuel Quickley,2022-23,NYK,Primary Ball Handler,"2,344",PG,23,2.11,1.9,0.21,6.8,0.94,1.28,-0.34
Myles Turner,2022-23,IND,Stretch Big,"1,825",C,27,2.09,0.12,1.98,5.2,1.78,0.42,1.37
Trae Young,2022-23,ATL,Primary Ball Handler,"2,541",PG,24,2.09,3.99,-1.9,7.3,1.92,3.56,-1.64
